"sim","group","run","subj","alpha_sub_gen","beta_sub_gen","ndt_sub_gen","delta_female_sub_gen","delta_male_sub_gen","alpha_sub_sim_mean","beta_sub_sim_mean","ndt_sub_sim_mean","delta_female_sub_sim_mean","delta_male_sub_sim_mean","alpha_sub_sim_hdi_lo","alpha_sub_sim_hdi_hi","beta_sub_sim_hdi_lo","beta_sub_sim_hdi_hi","ndt_sub_sim_hdi_lo","ndt_sub_sim_hdi_hi","delta_female_sub_sim_hdi_lo","delta_female_sub_sim_hdi_hi","delta_male_sub_sim_hdi_lo","delta_male_sub_sim_hdi_hi","alpha_recover","beta_recover","ndt_recover","delta_female_recover","delta_male_recover"
11,NA,2,20,2.18879485267327,0.539063384964494,0.2,2.81570982554431,-2.87029208431096,2.1575742575,0.53009873275,0.2,2.48248911477502,-2.82593167593591,1.98228,2.33926,0.485963,0.577647,0.2,0.2,2.01143089561746,2.89009453749715,-3.27757083136183,-2.35932004272482,1,1,NA,1,1
11,NA,2,21,2.3220784344128,0.423967230368856,0.2,2.60374565104205,-3.09525814545721,2.3010389,0.43025935675,0.2,2.54837253108569,-3.31315662680901,2.10586,2.49816,0.379624,0.47772,0.2,0.2,2.09171508934151,2.97017987103853,-3.78429138246673,-2.8047398510486,1,1,NA,1,1
11,NA,2,22,2.37990859749529,0.532629659944498,0.2,3.00755995198282,-2.74827429424236,2.3333955375,0.505923836,0.2,3.20144377370119,-2.59562879107673,2.13963,2.52938,0.46566,0.546634,0.2,0.2,2.75363319630353,3.65675691169766,-3.03827103563843,-2.16271261347746,1,1,NA,1,1
11,NA,2,23,2.47519658897155,0.455885493006801,0.2,2.78190230633138,-2.70003784314384,2.286829845,0.4504771315,0.2,2.96105535300135,-2.64145200230979,2.1023,2.47445,0.403512,0.492062,0.2,0.2,2.52193635175334,3.43498294888618,-3.06657839274328,-2.16288877437908,0,1,NA,1,1
11,NA,2,24,2.23340036649029,0.524100227328981,0.2,2.99167086319722,-3.14269778394828,2.2152139525,0.49387655075,0.2,3.30475477470601,-3.08461199550026,2.02936,2.3883,0.452554,0.535948,0.2,0.2,2.83699919558493,3.7642713531027,-3.5436735929792,-2.63511898179501,1,1,NA,1,1
11,NA,2,25,2.10725544248124,0.48628251419992,0.2,3.18770241862686,-2.49205083916094,2.1761308025,0.49274915025,0.2,3.32024913911746,-2.69208147508953,1.99775,2.34349,0.451653,0.532865,0.2,0.2,2.84970004682732,3.754770702549,-3.11546610518493,-2.2209619543267,1,1,NA,1,1
11,NA,2,26,1.92954650054784,0.470612341560452,0.2,3.01371018239374,-2.48875058062275,2.1555468425,0.5044767185,0.2,3.38172335136816,-2.74237685941327,1.97672,2.32083,0.464145,0.545975,0.2,0.2,2.9353546839511,3.83563355270846,-3.18208785563707,-2.28925992625101,0,1,NA,1,1
11,NA,2,27,2.23516005418695,0.487296934724275,0.2,3.30876273224272,-3.00116342262138,2.2024483025,0.4983612575,0.2,3.26314197418359,-3.092264952275,2.0231,2.37211,0.457516,0.53715,0.2,0.2,2.78600721370676,3.68440595574954,-3.54867395396907,-2.63621048297663,1,1,NA,1,1
11,NA,2,28,2.1642081997505,0.465390583651079,0.2,3.07700356632415,-2.7223307700149,2.21022821,0.48861997075,0.2,3.13237582462505,-2.52129553773628,2.02772,2.38312,0.446117,0.527717,0.2,0.2,2.69386219205294,3.58539352072478,-2.93880829818455,-2.09027532434818,1,1,NA,1,1
11,NA,2,29,2.20365355709244,0.520633339192304,0.2,3.02309281494419,-2.67829514482438,2.2615165425,0.479221357,0.2,3.3122602966518,-2.66830442894852,2.08456,2.44074,0.437598,0.517622,0.2,0.2,2.85523044081069,3.7603871560956,-3.09213047147489,-2.19433351249357,1,0,NA,1,1
