"SubjID","Group","Jitter","censored","Resp","n_trials","q1","q3","q5","q7","q9","GroupName","RespName","DirectionName","CensorName","Accuracy"
7,1,-0.119377657074929,1,2,10,0.0013097,0.0014055,0.0015795,0.0017014,0.0018505,"Control","Left","Left","NotCensored",1
7,1,0.119377657074929,1,1,11,0.000991,0.001299,0.001461,0.00169,0.001742,"Control","Right","Right","NotCensored",1
7,1,0.119377657074929,1,2,7,0.0011812,0.0013768,0.00157,0.0016194,0.0017194,"Control","Left","Right","NotCensored",0
7,1,0.358132971224787,1,1,7,0.0010884,0.0011984,0.001361,0.0015486,0.0016778,"Control","Right","Right","NotCensored",1
7,1,0.358132971224787,1,2,10,0.0012364,0.0014045,0.001532,0.0016498,0.0018207,"Control","Left","Right","NotCensored",0
7,1,0.596888285374645,1,1,15,0.0009762,0.0010674,0.001212,0.0013776,0.0018914,"Control","Right","Right","NotCensored",1
7,1,0.596888285374645,1,2,3,0.0016038,0.0017074,0.001811,0.0018726,0.0019342,"Control","Left","Right","NotCensored",0
7,1,0.835643599524503,1,1,16,0.00084,0.001003,0.001147,0.0015075,0.001852,"Control","Right","Right","NotCensored",1
7,1,0.835643599524503,1,2,1,0.000951,0.000951,0.000951,0.000951,0.000951,"Control","Left","Right","NotCensored",0
7,1,1.07439891367436,1,1,19,0.000828,0.0010442,0.001213,0.0013262,0.0014846,"Control","Right","Right","NotCensored",1
7,1,1.07439891367436,1,2,1,0.001473,0.001473,0.001473,0.001473,0.001473,"Control","Left","Right","NotCensored",0
7,1,1.91004251319886,1,1,20,0.0007426,0.0008489,0.001054,0.0012376,0.0015222,"Control","Right","Right","NotCensored",1
7,1,1.91004251319886,NA,2,0,NA,NA,NA,NA,NA,"Control","Left","Right",NA,0
8,1,0.358132971224787,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
8,1,0.596888285374645,0,NA,1,NA,NA,NA,NA,NA,"Control",NA,"Right","Censored",NA
8,1,-1.91004251319886,1,2,20,0.0008641,0.0009706,0.0010215,0.0010701,0.0013108,"Control","Left","Left","NotCensored",1
8,1,-1.07439891367436,1,1,3,0.0013952,0.0014556,0.001516,0.0015564,0.0015968,"Control","Right","Left","NotCensored",0
8,1,-1.07439891367436,1,2,17,0.0009038,0.0010198,0.00114,0.0013416,0.0015982,"Control","Left","Left","NotCensored",1
8,1,-0.835643599524503,1,1,4,0.0013868,0.0014384,0.001504,0.001576,0.001666,"Control","Right","Left","NotCensored",0
8,1,-0.835643599524503,1,2,16,0.001039,0.001145,0.0013835,0.0015545,0.001709,"Control","Left","Left","NotCensored",1
8,1,-0.596888285374645,1,1,4,0.0014788,0.0016204,0.001671,0.0017148,0.0018156,"Control","Right","Left","NotCensored",0
8,1,-0.596888285374645,1,2,16,0.001089,0.0012275,0.0012705,0.001357,0.00161,"Control","Left","Left","NotCensored",1
