"SubjID","Group","Resp","SignalStrength","n_trials","q1","q3","q5","q7","q9","GroupName","RespName"
10,1,2,-0.773809762908943,12,0.57,0.6462,0.6745,0.7457,0.7897,"Control","NotLookingAtMe"
10,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
10,1,2,-0.386904881454471,12,0.5947,0.6059,0.653,0.7422,0.8802,"Control","NotLookingAtMe"
10,1,1,-0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
10,1,2,0,12,0.6302,0.6755,0.71,0.7385,0.89,"Control","NotLookingAtMe"
10,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
10,1,2,0.386904881454471,12,0.6035,0.6388,0.716,0.7634,0.8727,"Control","NotLookingAtMe"
10,1,1,0.386904881454471,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
10,1,1,0.773809762908943,4,0.7615,0.7945,0.842,0.899,0.989,"Control","LookingAtMe"
10,1,2,0.773809762908943,8,0.677,0.903,1.0015,1.0874,1.1575,"Control","NotLookingAtMe"
10,1,1,1.16071464436341,11,0.613,0.72,0.776,0.962,1.07,"Control","LookingAtMe"
10,1,2,1.16071464436341,1,0.805,0.805,0.805,0.805,0.805,"Control","NotLookingAtMe"
10,1,1,1.54761952581789,12,0.5635,0.6546,0.7305,0.8542,0.9554,"Control","LookingAtMe"
10,1,2,1.54761952581789,0,NA,NA,NA,NA,NA,"Control","NotLookingAtMe"
11,1,2,-1.54761952581789,9,0.534,0.5996,0.663,0.7874,1.2154,"Control","NotLookingAtMe"
11,1,1,-1.54761952581789,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
11,1,2,-1.16071464436341,10,0.6258,0.7006,0.729,0.8444,1.214,"Control","NotLookingAtMe"
11,1,1,-1.16071464436341,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
11,1,2,-0.773809762908943,12,0.6265,0.662,0.7365,0.8306,1.1467,"Control","NotLookingAtMe"
11,1,1,-0.773809762908943,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
11,1,1,-0.386904881454471,1,1.252,1.252,1.252,1.252,1.252,"Control","LookingAtMe"
11,1,2,-0.386904881454471,10,0.6295,0.7295,0.776,0.8479,0.9582,"Control","NotLookingAtMe"
11,1,2,0,11,0.69,0.743,0.799,0.899,1.315,"Control","NotLookingAtMe"
11,1,1,0,0,NA,NA,NA,NA,NA,"Control","LookingAtMe"
11,1,1,0.386904881454471,1,1.341,1.341,1.341,1.341,1.341,"Control","LookingAtMe"
11,1,2,0.386904881454471,9,0.71,0.7808,0.806,0.9324,1.052,"Control","NotLookingAtMe"
11,1,1,0.773809762908943,5,0.652,0.741,0.845,1.001,1.4564,"Control","LookingAtMe"
